Text, Sentiment, Source, Date/Time, User ID, Location, Confidence Score
Exactly as described,Positive,Website,2025-06-11,shopper_B,Berlin,0.98
Horrible experience,Negative,eBay,2025-06-12,traveler_Z,Toronto,0.92
Wonderful experience,Positive,Google Maps,2025-06-13,music_fan,Chicago,0.95
So disappointed,Negative,Zomato,2025-06-14,food_lover,San Francisco,0.84
So impressed,Positive,Goodreads,2025-06-15,book_nerd,Mumbai,0.97
My new least favorite,Negative,Product Hunt,2025-06-16,tech_wiz,Seoul,0.80
My new favorite,Positive,Amazon,2025-06-17,art_fan,Mexico City,0.96
Low quality,Negative,Yelp Reviews,2025-06-18,buyer_007,Singapore,0.87
Top quality,Positive,Online Store,2025-06-19,local_guide,Dubai,0.99
Very unsatisfied,Negative,Etsy,2025-06-20,user7890,Madrid,0.83
Very satisfied,Positive,TripAdvisor,2025-06-21,client_3,Rome,0.94
Does not work,Negative,Spotify,2025-06-22,patron_5,Moscow,0.91
Works perfectly,Positive,Website,2025-06-23,user_A1,London,0.98
A must-avoid item,Negative,eBay,2025-06-24,reviewer99,Paris,0.88
A must-have item,Positive,Google Maps,2025-06-25,happy_buyer,Tokyo,0.97
Truly awful,Negative,Zomato,2025-06-26,critic_22,New York,0.90
Truly exceptional,Positive,Goodreads,2025-06-27,test_user,Los Angeles,0.99
Item never arrived,Negative,Product Hunt,2025-06-28,anon56,Sydney,0.94
Absolutely amazing,Positive,Amazon,2025-06-29,shopper_B,Berlin,0.95
Total waste of money,Negative,Yelp Reviews,2025-06-30,traveler_Z,Toronto,0.91
Highly recommend this product,Positive,Online Store,2025-07-01,music_fan,Chicago,0.98
Arrived broken,Negative,Etsy,2025-07-02,food_lover,San Francisco,0.88
Five stars,Positive,TripAdvisor,2025-07-03,book_nerd,Mumbai,0.97
Do not buy,Negative,Spotify,2025-07-04,tech_wiz,Seoul,0.93
Will buy again for sure,Positive,Website,2025-07-05,art_fan,Mexico City,0.96
Worst product ever,Negative,eBay,2025-07-06,buyer_007,Singapore,0.85
Best purchase ever,Positive,Google Maps,2025-07-07,local_guide,Dubai,0.99
Terrible quality,Negative,Zomato,2025-07-08,user7890,Madrid,0.90
Fantastic quality,Positive,Goodreads,2025-07-09,client_3,Rome,0.97
Hated it,Negative,Product Hunt,2025-07-10,patron_5,Moscow,0.82
Loved it,Positive,Amazon,2025-07-11,user_A1,London,0.94
Poor value,Negative,Yelp Reviews,2025-07-12,reviewer99,Paris,0.79
Great value,Positive,Online Store,2025-07-13,happy_buyer,Tokyo,0.92
Shipping was so slow,Negative,Etsy,2025-07-14,critic_22,New York,0.86
Super fast delivery,Positive,TripAdvisor,2025-07-15,test_user,Los Angeles,0.95
Rude customer service,Negative,Spotify,2025-07-16,anon56,Sydney,0.81
Excellent customer service,Positive,Website,2025-07-17,shopper_B,Berlin,0.97
Did not fit,Negative,eBay,2025-07-18,traveler_Z,Toronto,0.77
Perfect fit,Positive,Google Maps,2025-07-19,music_fan,Chicago,0.96
Not as advertised,Negative,Zomato,2025-07-20,food_lover,San Francisco,0.89
Exactly as described,Positive,Goodreads,2025-07-21,book_nerd,Mumbai,0.98
Horrible experience,Negative,Product Hunt,2025-07-22,tech_wiz,Seoul,0.92
Wonderful experience,Positive,Amazon,2025-07-23,art_fan,Mexico City,0.95
So disappointed,Negative,Yelp Reviews,2025-07-24,buyer_007,Singapore,0.84
So impressed,Positive,Online Store,2025-07-25,local_guide,Dubai,0.97
My new least favorite,Negative,Etsy,2025-07-26,user7890,Madrid,0.80
My new favorite,Positive,TripAdvisor,2025-07-27,client_3,Rome,0.96
Low quality,Negative,Spotify,2025-07-28,patron_5,Moscow,0.87
Top quality,Positive,Website,2025-07-29,user_A1,London,0.99
Very unsatisfied,Negative,eBay,2025-07-30,reviewer99,Paris,0.83
Very satisfied,Positive,Google Maps,2025-07-31,happy_buyer,Tokyo,0.94
Does not work,Negative,Zomato,2025-08-01,critic_22,New York,0.91
Works perfectly,Positive,Goodreads,2025-08-02,test_user,Los Angeles,0.98
A must-avoid item,Negative,Product Hunt,2025-08-03,anon56,Sydney,0.88
A must-have item,Positive,Amazon,2025-08-04,shopper_B,Berlin,0.97
Truly awful,Negative,Yelp Reviews,2025-08-05,traveler_Z,Toronto,0.90
Truly exceptional,Positive,Online Store,2025-08-06,music_fan,Chicago,0.99
Item never arrived,Negative,Etsy,2025-08-07,food_lover,San Francisco,0.94
Absolutely amazing,Positive,TripAdvisor,2025-08-08,book_nerd,Mumbai,0.95
Total waste of money,Negative,Spotify,2025-08-09,tech_wiz,Seoul,0.91
Highly recommend this product,Positive,Website,2025-08-10,art_fan,Mexico City,0.98
Arrived broken,Negative,eBay,2025-08-11,buyer_007,Singapore,0.88
Five stars,Positive,Google Maps,2025-08-12,local_guide,Dubai,0.97
Do not buy,Negative,Zomato,2025-08-13,user7890,Madrid,0.93
Will buy again for sure,Positive,Goodreads,2025-08-14,client_3,Rome,0.96
Worst product ever,Negative,Product Hunt,2025-08-15,patron_5,Moscow,0.85
Best purchase ever,Positive,Amazon,2025-08-16,user_A1,London,0.99
Terrible quality,Negative,Yelp Reviews,2025-08-17,reviewer99,Paris,0.90
Fantastic quality,Positive,Online Store,2025-08-18,happy_buyer,Tokyo,0.97
Hated it,Negative,Etsy,2025-08-19,critic_22,New York,0.82
Loved it,Positive,TripAdvisor,2025-08-20,test_user,Los Angeles,0.94
Poor value,Negative,Spotify,2025-08-21,anon56,Sydney,0.79
Great value,Positive,Website,2025-08-22,shopper_B,Berlin,0.92
Shipping was so slow,Negative,eBay,2025-08-23,traveler_Z,Toronto,0.86
Super fast delivery,Positive,Google Maps,2025-08-24,music_fan,Chicago,0.95
Rude customer service,Negative,Zomato,2025-08-25,food_lover,San Francisco,0.81
Excellent customer service,Positive,Goodreads,2025-08-26,book_nerd,Mumbai,0.97
Did not fit,Negative,Product Hunt,2025-08-27,tech_wiz,Seoul,0.77
Perfect fit,Positive,Amazon,2025-08-28,art_fan,Mexico City,0.96
Not as advertised,Negative,Yelp Reviews,2025-08-29,buyer_007,Singapore,0.89
Exactly as described,Positive,Online Store,2025-08-30,local_guide,Dubai,0.98
Horrible experience,Negative,Etsy,2025-08-31,user7890,Madrid,0.92
Wonderful experience,Positive,TripAdvisor,2025-09-01,client_3,Rome,0.95
So disappointed,Negative,Spotify,2025-09-02,patron_5,Moscow,0.84
So impressed,Positive,Website,2025-09-03,user_A1,London,0.97
My new least favorite,Negative,eBay,2025-09-04,reviewer99,Paris,0.80
My new favorite,Positive,Google Maps,2025-09-05,happy_buyer,Tokyo,0.96
Low quality,Negative,Zomato,2025-09-06,critic_22,New York,0.87
Top quality,Positive,Goodreads,2025-09-07,test_user,Los Angeles,0.99
Very unsatisfied,Negative,Product Hunt,2025-09-08,anon56,Sydney,0.83
Very satisfied,Positive,Amazon,2025-09-09,shopper_B,Berlin,0.94
Does not work,Negative,Yelp Reviews,2025-09-10,traveler_Z,Toronto,0.91
Works perfectly,Positive,Online Store,2025-09-11,music_fan,Chicago,0.98
A must-avoid item,Negative,Etsy,2025-09-12,food_lover,San Francisco,0.88
A must-have item,Positive,TripAdvisor,2025-09-13,book_nerd,Mumbai,0.97
Truly awful,Negative,Spotify,2025-09-14,tech_wiz,Seoul,0.90
Truly exceptional,Positive,Website,2025-09-15,art_fan,Mexico City,0.99
Item never arrived,Negative,eBay,2025-09-16,buyer_007,Singapore,0.94
Absolutely amazing,Positive,Google Maps,2025-09-17,local_guide,Dubai,0.95
Total waste of money,Negative,Zomato,2025-09-18,user7890,Madrid,0.91
Highly recommend this product,Positive,Goodreads,2025-09-19,client_3,Rome,0.98
Arrived broken,Negative,Product Hunt,2025-09-20,patron_5,Moscow,0.88
Five stars,Positive,Amazon,2025-09-21,user_A1,London,0.97
Do not buy,Negative,Yelp Reviews,2025-09-22,reviewer99,Paris,0.93
Will buy again for sure,Positive,Online Store,2025-09-23,happy_buyer,Tokyo,0.96
Worst product ever,Negative,Etsy,2025-09-24,critic_22,New York,0.85
Best purchase ever,Positive,TripAdvisor,2025-09-25,test_user,Los Angeles,0.99
Terrible quality,Negative,Spotify,2025-09-26,anon56,Sydney,0.90
Fantastic quality,Positive,Website,2025-09-27,shopper_B,Berlin,0.97
Hated it,Negative,eBay,2025-09-28,traveler_Z,Toronto,0.82
Loved it,Positive,Google Maps,2025-09-29,music_fan,Chicago,0.94
Poor value,Negative,Zomato,2025-09-30,food_lover,San Francisco,0.79
Great value,Positive,Goodreads,2025-10-01,book_nerd,Mumbai,0.92
Shipping was so slow,Negative,Product Hunt,2025-10-02,tech_wiz,Seoul,0.86
Super fast delivery,Positive,Amazon,2025-10-03,art_fan,Mexico City,0.95
Rude customer service,Negative,Yelp Reviews,2025-10-04,buyer_007,Singapore,0.81
Excellent customer service,Positive,Online Store,2025-10-05,local_guide,Dubai,0.97
Did not fit,Negative,Etsy,2025-10-06,user7890,Madrid,0.77
Perfect fit,Positive,TripAdvisor,2025-10-07,client_3,Rome,0.96
Not as advertised,Negative,Spotify,2025-10-08,patron_5,Moscow,0.89
Exactly as described,Positive,Website,2025-10-09,user_A1,London,0.98
Horrible experience,Negative,eBay,2025-10-10,reviewer99,Paris,0.92
Wonderful experience,Positive,Google Maps,2025-10-11,happy_buyer,Tokyo,0.95
So disappointed,Negative,Zomato,2025-10-12,critic_22,New York,0.84
So impressed,Positive,Goodreads,2025-10-13,test_user,Los Angeles,0.97
My new least favorite,Negative,Product Hunt,2025-10-14,anon56,Sydney,0.80
My new favorite,Positive,Amazon,2025-10-15,shopper_B,Berlin,0.96
Low quality,Negative,Yelp Reviews,2025-10-16,traveler_Z,Toronto,0.87
Top quality,Positive,Online Store,2025-10-17,music_fan,Chicago,0.99
Very unsatisfied,Negative,Etsy,2025-10-18,food_lover,San Francisco,0.83
Very satisfied,Positive,TripAdvisor,2025-10-19,book_nerd,Mumbai,0.94
Does not work,Negative,Spotify,2025-10-20,tech_wiz,Seoul,0.91
Works perfectly,Positive,Website,2025-10-21,art_fan,Mexico City,0.98
A must-avoid item,Negative,eBay,2025-10-22,buyer_007,Singapore,0.88
A must-have item,Positive,Google Maps,2025-10-23,local_guide,Dubai,0.97
Truly awful,Negative,Zomato,2025-10-24,user7890,Madrid,0.90
Truly exceptional,Positive,Goodreads,2025-10-25,client_3,Rome,0.99
Item never arrived,Negative,Product Hunt,2025-10-26,patron_5,Moscow,0.94
